what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1455343903598
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455343935691
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455343940608
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455343957085
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455343962154
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344086402
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455344088445
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344137707
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344147305
opened,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455344147383
activated,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455344147417
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1455344147418
activated,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455344160925
closed,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455344160925
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344222675
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344228333
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344271102
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344286857
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344288898
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344352329
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344366072
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344528667
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344553403
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344555915
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344569442
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344578682
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344624741
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344652585
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344655071
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344667021
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344670410
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344693250
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344707738
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344709772
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344718516
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344737014
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344738791
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344755181
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455344757333
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455344757802
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455344758275
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455344758717
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1455344759237
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344764304
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344765540
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344779590
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344781260
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344876254
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344887842
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455344890496
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455344909577
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344911778
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344957666
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455344962902
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345011714
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345027828
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345034927
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455345036834
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455345042876
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455345045137
