what,kind,bundleId,bundleVersion,description,time
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455692647951
java.specification.version,sysinfo,,,"1.6",1455692647951
java.vendor,sysinfo,,,"Apple Inc.",1455692647951
java.version,sysinfo,,,"1.6.0_65",1455692647951
java.vm.info,sysinfo,,,"mixed mode",1455692647951
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1455692647951
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1455692647951
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1455692647951
java.vm.specification.version,sysinfo,,,"1.0",1455692647951
java.vm.vendor,sysinfo,,,"Apple Inc.",1455692647951
java.vm.version,sysinfo,,,"20.65-b04-468",1455692647951
started,bundle,org.eclipse.mylyn.context.core,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.core",1455692647958
started,bundle,org.eclipse.mylyn.context.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.context.ui",1455692647989
started,bundle,org.eclipse.mylyn.tasks.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.tasks.ui",1455692648201
started,bundle,org.eclipse.mylyn.team.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.team.ui",1455692648226
started,bundle,org.eclipse.php.debug.daemon,2.1.1.v20090707-1108,"org.eclipse.php.debug.daemon",1455692648242
started,bundle,org.eclipse.php.server.core,2.1.1.v20090707-1108,"org.eclipse.php.server.core",1455692648383
started,bundle,org.eclipse.mylyn.monitor.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.monitor.ui",1455692648493
started,bundle,org.eclipse.php.debug.core,2.1.1.v20090921-1100,"org.eclipse.php.debug.core",1455692648649
started,bundle,org.eclipse.jsch.core,1.1.100.I20090430-0408,"org.eclipse.jsch.core",1455692648765
started,bundle,org.eclipse.team.cvs.core,3.3.200.I20090430-0408,"org.eclipse.team.cvs.core",1455692648788
started,bundle,org.eclipse.team.ui,3.5.0.I20090430-0408,"org.eclipse.team.ui",1455692648863
started,bundle,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console",1455692648894
started,bundle,org.eclipse.team.cvs.ui,3.3.202.r35x_20090930-0800,"org.eclipse.team.cvs.ui",1455692649173
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692649411
activated,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455692649457
started,bundle,org.eclipse.update.scheduler,3.2.200.v20081127,"org.eclipse.update.scheduler",1455692649543
started,bundle,org.eclipse.update.core,3.2.300.v20090525,"org.eclipse.update.core",1455692649592
started,bundle,org.eclipse.wst.ws.service.policy.ui,1.0.102.v200903070248,"org.eclipse.wst.ws.service.policy.ui",1455692649594
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1455692651098
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1455692651130
started,bundle,org.eclipse.jdt.core,3.5.2.v_981_R35x,"org.eclipse.jdt.core",1455692651400
started,bundle,org.eclipse.jdt.debug,3.5.0.v20090526,"org.eclipse.jdt.debug",1455692651519
started,bundle,org.eclipse.jdt.launching,3.5.1.v20100108_r352,"org.eclipse.jdt.launching",1455692651550
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20090603,"org.eclipse.jdt.core.manipulation",1455692651816
started,bundle,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui",1455692651869
started,bundle,org.eclipse.jdt.debug.ui,3.4.1.v20090811_r351,"org.eclipse.jdt.debug.ui",1455692651958
started,bundle,org.eclipse.php.server.ui,2.1.1.v20090707-1108,"org.eclipse.php.server.ui",1455692652226
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692654615
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692701304
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1455692701388
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692708758
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692714223
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692715824
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692746972
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692750001
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692756468
opened,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455692756615
activated,editor,org.eclipse.php.ui,2.1.1.v20090921-1100,"org.eclipse.php.editor",1455692756633
executed,command,org.eclipse.ui.ide,3.5.2.M20100113-0800,"org.eclipse.ui.edit.text.openLocalFile",1455692756634
error,log,,,"",1455692758574
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455692763243
started,bundle,org.eclipse.ltk.core.refactoring,3.5.0.v20090513-2000,"org.eclipse.ltk.core.refactoring",1455692764176
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455692781259
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692785918
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692797683
started,bundle,org.eclipse.dltk.validators.ui,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.ui",1455692806804
started,bundle,org.eclipse.dltk.validators.core,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.core",1455692806818
started,bundle,org.eclipse.dltk.validators.externalchecker,1.0.0.v20090610-1638,"org.eclipse.dltk.validators.externalchecker",1455692806859
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455692808725
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455692823968
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692826681
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692904330
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455692922686
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.copy",1455692928448
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1455692938806
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455692940567
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692944052
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692966128
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1455692971865
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455692973261
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693091075
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693093282
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1455693114537
